sequence_id	library	term	gained_in_term	lost_in_term	gained_genes	lost_genes	corrected_log2_odds_ratio	p_value	q_within_screen	q_global_library
ABCA4_75bb85c8443e2219	Reactome	Ion channel transport (R-HSA-983712)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	Reactome	Infectious disease (R-HSA-5663205)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	Reactome	Induction of Cell-Cell Fusion (R-HSA-9733458)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	Reactome	Viral Infection Pathways (R-HSA-9824446)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Cellular Component	membrane (GO:0016020)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Cellular Component	membrane (GO:0016020)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Cellular Component	apical plasma membrane (GO:0016324)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Cellular Component	extracellular exosome (GO:0070062)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Cellular Component	presynapse (GO:0098793)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Cellular Component	chloride channel complex (GO:0034707)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75bb85c8443e2219	GO Molecular Function	metal ion binding (GO:0046872)	1	0	ANO1		0.3625700793847084	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Cellular Component	apical plasma membrane (GO:0016324)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Cellular Component	extracellular exosome (GO:0070062)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	Reactome	Infectious disease (R-HSA-5663205)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	Reactome	Induction of Cell-Cell Fusion (R-HSA-9733458)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	Reactome	Viral Infection Pathways (R-HSA-9824446)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	Reactome	Disease (R-HSA-1643685)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	Reactome	Late SARS-CoV-2 Infection Events (R-HSA-9772573)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Cellular Component	membrane (GO:0016020)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Cellular Component	apical plasma membrane (GO:0016324)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Cellular Component	nucleoplasm (GO:0005654)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Cellular Component	extracellular exosome (GO:0070062)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Cellular Component	presynapse (GO:0098793)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75ab7dc0a358180b	GO Molecular Function	metal ion binding (GO:0046872)	1	0	ANO1		-1.5849625007211563	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Biological Process	glial cell projection elongation (GO:0106091)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Biological Process	phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Cellular Component	presynapse (GO:0098793)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Cellular Component	chloride channel complex (GO:0034707)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Molecular Function	metal ion binding (GO:0046872)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Molecular Function	identical protein binding (GO:0042802)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Molecular Function	calcium-activated cation channel activity (GO:0005227)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
ABCA4_75abb350373a370e	GO Molecular Function	voltage-gated chloride channel activity (GO:0005247)	1	0	ANO1		-1.8744691179161412	1.0	1.0	1.0
